Respondent ID,Start Date,RaceOrEthnicity,What is your gender?,What is your current age?,What is the highest level of education you have completed?,How do you classify your employment?,How long have you been in your current role?,What is your current job title?,How many years of experience do you have in your current industry?,Seniority Level of Position,Promotions,Industry,What type of business?,How many employees are employed by the business?,I feel that my job performance is evaluated fairly.,"I feel that my compensation is fair, relative to similar roles at my company.",I feel confident I can develop my career at my company.,I feel promotion decisions are fair at my company.,I feel my company benefits are adequate.,"I feel that I have been offered potential growth opportunities (mentoring, training, special projects, etc)"
11440731159,3/24/2020 0:07,Asian ,Male,25-34,Master's Degree or Higher,Full Time Employee,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11440843134,3/24/2020 0:56,White ,female,65+,Master's Degree or Higher,Self Employed/Entrepreneur,Ten years or more,attorney,Ten years or more, self employed, Never been promoted   ,Legal Services ,For Profit,Less than 50 Employees,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
11440859155,3/24/2020 1:05,White ,Female,35-44,Master's Degree or Higher,Full Time Employee,One to five years,Sales Account Manager,Five to ten years,Mid level , Never been promoted   ,Entertainment & Leisure ,For Profit,"1,000 to 10,000 Employees",Agree,Agree,Disagree,Neither agree nor disagree,Agree,Somewhat disagree
11440863781,3/24/2020 1:07,Hispanic or Latino ,Female,25-34,Master's Degree or Higher,Full Time Employee,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11441000319,3/24/2020 2:35,White ,male,25-34,Some College,Full Time Employee,One to five years,admin,One to five years,Senior level , Never been promoted   ,Business Support & Logistics ,For Profit,Less than 50 Employees,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11441730402,3/24/2020 11:22,White ,male,25-34,High School Diploma/GED,Self Employed/Entrepreneur,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11441807124,3/24/2020 12:05,Hispanic or Latino ,Male,25-34,Bachelor's Degree,Full Time Employee,One to five years,Data Analyst,One to five years,Entry level , Never been promoted   ,Insurance ,For Profit,"250 to 1,000 Employees",Strongly agree,Strongly agree,Agree,Agree,Agree,Agree
11442081612,3/24/2020 14:04,White ,Technically female,25-34,Associate's Degree,Part Time Employee,One to five years,Cashier,One to five years,Entry level , Never been promoted   ,Food & Beverages ,For Profit,50 to 250 Employees,Strongly disagree,Agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree
11442085810,3/24/2020 14:06,White ,Female,35-44,Bachelor's Degree,Full Time Employee,One to five years,Financial Advisor,Ten years or more," It can be all of the above. Prior to entering into partnership, I was First VP",Multiple Promotions,Finance & Financial Services ,For Profit,"More than 10,000 Employees",Agree,Agree,Agree,Somewhat agree,Strongly agree,Agree
11442110634,3/24/2020 14:16,White ,Female,35-44,Bachelor's Degree,Full Time Employee,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
