Respondent ID,Start Date,RaceOrEthnicity,What is your gender?,What is your current age?,What is the highest level of education you have completed?,How do you classify your employment?,How long have you been in your current role?,What is your current job title?,How many years of experience do you have in your current industry?,Seniority Level of Position,Promotions,Industry,What type of business?,How many employees are employed by the business?,I feel that my job performance is evaluated fairly.,"I feel that my compensation is fair, relative to similar roles at my company.",I feel confident I can develop my career at my company.,I feel promotion decisions are fair at my company.,I feel my company benefits are adequate.,"I feel that I have been offered potential growth opportunities (mentoring, training, special projects, etc)"
11466171213,4/1/2020 15:22,Asian ,Male,25-34,Master's Degree or Higher,Full Time Employee,Five to ten years,Data analysis,Five to ten years,Mid level , Never been promoted   ,Information Technology and Services ,For Profit,"More than 10,000 Employees",Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11466189554,4/1/2020 15:24,White ,Female,25-34,Bachelor's Degree,Full Time Employee,Five to ten years,Director of International Programs,Five to ten years,Mid level ,    Within 12 Months,Nonprofit ,Non Profit,Less than 50 Employees,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree
11466182105,4/1/2020 15:25,White ,Female,55-64,Bachelor's Degree,Full Time Employee,One to five years,Admin,One to five years,Mid level , Never been promoted   ,Finance & Financial Services ,For Profit,"1,000 to 10,000 Employees",Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Disagree
11466192972,4/1/2020 15:28,Black or African American ,Female,25-34,Bachelor's Degree,Full Time Employee,One to five years,Director,Five to ten years,Senior level ,Multiple Promotions,Nonprofit ,Non Profit,Less than 50 Employees,Agree,Agree,Agree,Strongly agree,Strongly agree,Somewhat agree
11466201655,4/1/2020 15:29,White ,Male,45-54,Some College,Self Employed/Entrepreneur,One to five years,Partner,Ten years or more,"C Suite (CEO, CFO, COO, CTO, CSO) ",Prefer not to answer    ,Information Technology and Services ,For Profit,Less than 50 Employees,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree
11466200311,4/1/2020 15:30,White ,Female,25-34,Bachelor's Degree,Full Time Employee,One to five years,Senior SEO Coordinator,Five to ten years,Senior level ,    Within 12 Months,Advertising & Marketing ,For Profit,50 to 250 Employees,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11466200463,4/1/2020 15:30,White ,Female,35-44,Bachelor's Degree,Unemployed,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11466217479,4/1/2020 15:32,White ,Male,25-34,Master's Degree or Higher,Full Time Employee,One to five years,Human Resources Manager,One to five years,Senior level , Never been promoted   ,Airlines & Aerospace (including Defense) ,For Profit,50 to 250 Employees,Somewhat agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Somewhat agree
11466219471,4/1/2020 15:35,White ,Male,35-44,Master's Degree or Higher,Full Time Employee,Ten years or more,Teacher,Ten years or more, Unsure, Never been promoted   ,Education ,Government,"250 to 1,000 Employees",Agree,Agree,Strongly agree,Disagree,Strongly agree,Somewhat agree
11466220877,4/1/2020 15:36,White ,Female,45-54,Master's Degree or Higher,Full Time Employee,Less than one year,Director of Membership & Events,Ten years or more,Senior level , Never been promoted   ,Nonprofit ,Non Profit,Less than 50 Employees,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
11466221464,4/1/2020 15:36,White ,Female,55-64,Bachelor's Degree,Unemployed,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11466223472,4/1/2020 15:36,White ,Male,45-54,Bachelor's Degree,Long Term Contract Employee,Less than one year,Senior Software Architect,Ten years or more,Senior level , Never been promoted   ,Information Technology and Services ,For Profit,50 to 250 Employees,Neither agree nor disagree,Strongly agree,Somewhat disagree,Disagree,Disagree,Somewhat disagree
